hin_Deva,urd_Arab,eng_Latn,doi_Deva
"सेवा संबंधी लोगों के लिए भेष कई गुणों का संयोजन है, जैसे कि उनके जूते, कपड़े, टाई, आभूषण, केश शैली, मेक-अप, घड़ी, कॉस्मेटिक, इत्र, आदि।","ظاہری صورت ملازم سے متعلق خصوصیات کا مجموعہ ہوتی ہے، جیسے ان کے جوتے، کپڑے، ٹائی، زیورات، بالوں کا انداز، میک اپ، گھڑی، کاسمیٹکس، عطر، وغیرہ۔","An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","इक दखौट सेवा करने आह्‌‌‌ले व्यक्ति कन्नै सरबंधत खासियतें दा इक समूह् ऐ, जिʼयां उंʼदे जुत्ते, टल्ले, टाई, गैह्‌‌‌ना-बंद्धा, बाल, शंगार, घड़ी, सौंदर्य प्रसाधन, अतर आदि।"
महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उन्तीस चैत्य और विहार गुफाएँ हैं जो पहली शताब्दी ई.पू. से ले कर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों तथा चित्रकारियों से सुसज्जित हैं।,"اجنتا، جو مہاراشٹر کے اورنگ آباد ضلع میں واقع ہے، کے انتیس چیتیا اور وہارا غار ہیں جو پہلی صدی قبل مسیح سے پانچویں صدی عیسوی تک کے مجسموں اور پینٹگز سے مزین ہیں۔","Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",महाराष्ट्र दे औरंगाबाद जि'ले च स्थित अजंता च नत्ती चैत्य ते विहार न जिʼनें गी पैह्‌ली सदी ईसा पूर्व दियें मूर्तियें ते चित्रें कन्नै सजाया गेदा ऐ।
"विस्तार का असर बनाते हुए, शरीर का रंग बाहरी रेखा में घुल-मिल जाता है।","‏جسمانی رنگ بیرونی خط کے ساتھ ضم ہوجاتا ہے، جس سے حجم کا اثر پیدا ہوتا ہے۔‏","Body colour gets merged with the outer line, creating the effect of volume.",शरीरै दा रंग बाह्‌री रेखा च रलियै फलाऽ दा प्रभाव पैदा करदा ऐ।
"अशोक ने व्यापक रूप से मूर्तियों और शानदार स्मारकों को बनाने के लिए पत्थर का प्रयोग करना शुरू किया, जबकि उससे पहले पारंपरिक रूप से लकड़ी और मिट्टी का प्रयोग किया जाता है।","‏اشوک نے مجسموں اور عظیم یادگاروں کے لیے پتھر کا وسیع پیمانے پر استعمال کرنا شروع کیا، جبکہ گذشتہ روایت لکڑی اور مٹی کے ساتھ کام کرنے پر مشتمل تھی۔‏","Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","अशोक ने मूर्तियें ते महान स्मारकें आस्तै पत्थरै दा खु'ल्लियै इस्तेमाल करना शुरू कीता, जद् के पिछली परंपरा च लकड़ी ते मिट्टी कन्नै कम्म करना शामल हा।"
"महाराष्ट्र के इस स्वादिष्ट और प्रसिद्ध व्यंजन में आलुओं में मसाले को मिलाकर, बेसन के घोल की परत लगाकर, उसे अच्छी तरह से तल कर बनाया जाता है।","مصالحے ملے ہوئے آلووؑں کو، بیسن کے آٹے میں لپیٹ کر اچھی طرح گہرے برتن میں تل کر مہاراشٹر کی یہ مزیدار اور مشہور ڈش بنائی جاتی ہے۔‏","Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","महाराष्ट्र दा एह्‌‌ सुआदला ते मश्हूर व्यंजन बनाने आस्तै आलुएं गी मसालें च मलाया जंदा ऐ, बेसन दे घोल च लपेटियै पूरी चाल्ली शैल तलेआ जंदा ऐ ।"
चेट्टिनाड भोजन तमिल नाडु के चेट्टिनाड क्षेत्र के नाट्टूकोटाई चेट्टियार नामक समुदाय या खुद को नागारथार कहने वालों का भोजन है।,"چیٹیناڈ پکوان ریاست تامل ناڈو کے چیٹیناڈ علاقے سے تعلق رکھنے والی ایک برادری کا پکوان ہے جسے ناٹوکوٹئی چیٹیار کہا جاتا ہے، یا ناگراتھر، جیسا کہ وہ خود کو کہتے ہیں۔","Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","चेट्टीनाड व्यंजन तमिलनाडु रियासता दे चेट्टीनाड प्रदेश दी नट्टुकोट्टई चेट्टियार, जां नगरथार नामी इक बिरादरी ,जिʼयां के ओह्‌‌ अपने आपै गी आखदे न, दा व्यंजन ऐ।"
दालचीनी मूल रूप से भारत की है और इस रूप में इसका प्रयोग स्वादिष्टकारक से लेकर औषधीय कारक के रूप में किया जाता है।,‏دار چینی ہندوستان کی مقامی ہے اور اس بنا پر اس کا استعمال ذائقہ بڑھانے سے لے کر دواؤں کے عامل کے طور پر ہوتا ہے۔‏,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.","दालचीनी भारत दा देसी बूह्‌टा ऐ ते, एह्‌‌‌दा इस्तेमाल इक खुशबो कारक शा लेइयै औशधी कारक दे तौर पर होंदा ऐ।"
सूखे ग्राइंडर में या फिर पत्थर के मूसल में इसका चूर्ण बना लें।,اسے ایک خشک پسنہارے سے یا پتھر کے موسل سے پیس کر سفوف بنالیں۔,Make this into powder with a dry grinder or in a stone pestle.,सुक्के ग्राइंडर जां पत्थरे दे डंडे कन्नै इसदा पाउडर बनाई लैओ।
"पंजाब के हर शहर की अपनी पसंद है, जैसे कि अमृतसर के लोग विशेष रूप से अमृतसरी कुलचे, भरवां पराठें और दूध के उत्पाद पसंद करते हैं।","پنجاب کے ہر شہر کی مختلف ترجیحات ہیں، جیسے امرتسر میں لوگ امرتسری کلچے، بھرواں پراٹھے اور دودھ کی مصنوعات کے خاص طور پر شوقین ہیں۔","Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","पंजाब दे हर इक शैह्‌रै दियां बक्खो-बक्ख तरजीहां न, जिʼयां अमृतसरै दे लोक खास तौरा पर अमृतसरी कुल्चे, भरवां परौंठे ते दुद्ध उत्पादन पसंद करदे न।"
"राम को ऋषि के साथ भेज दो, और लक्ष्मण को भी भेज दो।","رام کو سادھو کے ساتھ بھیج دو، اور لکشمن کو بھی۔","Send Rama with the sage, and send Lakshmana too.","रामचंद्र गी रिशी दे कन्नै भेजो, ते लक्ष्मण गी बी भेजो।"
